Accession,Species,Genus,Family,Order,Class,Phylum,Kingdom,Complete_BUSCOs,Single_Copy_BUSCOs,Fragmented_BUSCOs,Missing_BUSCOs,Selection_Reason,primary_lifestyle,Growth_form_template
GCA_025327125.1,Colletotrichum sp. SAR 10_86,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,739,735,9,10,unique,plant_pathogen,filamentous_mycelium
GCA_025329375.1,Colletotrichum sp. SAR 10_96,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,740,736,9,9,unique,plant_pathogen,filamentous_mycelium
GCA_025329385.1,Colletotrichum sp. SAR 10_98,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,746,743,6,6,unique,plant_pathogen,filamentous_mycelium
GCA_028654355.1,Colletotrichum sp. SAR 10_99,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,744,740,8,6,unique,plant_pathogen,filamentous_mycelium
GCA_025328985.1,Colletotrichum sp. SAR11_239,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,747,745,3,8,unique,plant_pathogen,filamentous_mycelium
GCA_025328625.1,Colletotrichum sp. SAR11_240,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,744,742,6,8,unique,plant_pathogen,filamentous_mycelium
GCA_025328355.1,Colletotrichum sp. SAR11_57,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,741,739,6,11,unique,plant_pathogen,filamentous_mycelium
GCA_025328345.1,Colletotrichum sp. SAR11_59,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,740,736,7,11,unique,plant_pathogen,filamentous_mycelium
GCF_022836535.1,Colletotrichum spaethianum,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,709,706,17,32,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCA_004366825.1,Colletotrichum spinosum,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,750,748,0,8,unique,plant_pathogen,filamentous_mycelium
GCA_030867325.1,Colletotrichum sublineola,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,748,746,2,8,GCA_only_from_2,plant_pathogen,filamentous_mycelium
GCA_036851105.1,Colletotrichum tabaci,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,750,747,1,7,unique,plant_pathogen,filamentous_mycelium
GCF_030869305.1,Colletotrichum tamarilloi,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,746,744,3,9,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCA_005350895.1,Colletotrichum tanaceti,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,747,743,3,8,GCA_only_from_2,plant_pathogen,filamentous_mycelium
GCA_001625265.1,Colletotrichum tofieldiae,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,751,749,3,4,GCA_only_from_4,plant_pathogen,filamentous_mycelium
GCA_004367215.1,Colletotrichum trifolii,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,748,741,3,7,unique,plant_pathogen,filamentous_mycelium
GCA_013201785.1,Colletotrichum tropicale,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,746,743,4,8,GCA_only_from_2,plant_pathogen,filamentous_mycelium
GCF_014235925.2,Colletotrichum truncatum,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,748,746,1,9,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCA_013201765.1,Colletotrichum viniferum,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,748,743,3,7,unique,plant_pathogen,filamentous_mycelium
GCA_030867305.1,Colletotrichum zoysiae,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota,Fungi,745,743,3,10,unique,plant_pathogen,filamentous_mycelium
GCA_015584075.1,Collybia nuda,Collybia,Clitocybaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,739,730,6,13,unique,mycoparasite,filamentous_mycelium
GCA_013368555.1,Collybiopsis confluens,Collybiopsis,Omphalotaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,722,672,8,28,unique,,
GCA_000827265.1,Collybiopsis luxurians,Collybiopsis,Omphalotaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,726,713,10,22,unique,,
GCA_001566745.1,Conidiobolus coronatus,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,Zoopagomycota,Fungi,599,592,32,127,unique,animal_parasite,filamentous_mycelium
GCA_003019895.1,Coniella lustricola,Coniella,Schizoparmaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,747,745,2,9,unique,plant_pathogen,filamentous_mycelium
GCA_024195185.1,Coniferiporia weirii,Coniferiporia,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota,Fungi,729,726,8,21,unique,wood_saprotroph,filamentous_mycelium
GCA_030052785.1,Coniochaeta hoffmannii,Coniochaeta,Coniochaetaceae,Coniochaetales,Sordariomycetes,Ascomycota,Fungi,749,748,4,5,unique,unspecified_saprotroph,filamentous_mycelium
GCA_001879275.1,Coniochaeta ligniaria,Coniochaeta,Coniochaetaceae,Coniochaetales,Sordariomycetes,Ascomycota,Fungi,746,742,5,7,unique,unspecified_saprotroph,filamentous_mycelium
GCA_003635345.1,Coniochaeta pulveracea,Coniochaeta,Coniochaetaceae,Coniochaetales,Sordariomycetes,Ascomycota,Fungi,747,746,3,8,unique,unspecified_saprotroph,filamentous_mycelium
GCA_009194965.1,Coniochaeta sp. 2T2.1,Coniochaeta,Coniochaetaceae,Coniochaetales,Sordariomycetes,Ascomycota,Fungi,752,21,1,5,unique,unspecified_saprotroph,filamentous_mycelium
GCA_021432605.1,Coniochaeta sp. PMI_546,Coniochaeta,Coniochaetaceae,Coniochaetales,Sordariomycetes,Ascomycota,Fungi,749,747,3,6,unique,unspecified_saprotroph,filamentous_mycelium
GCF_000271625.1,Coniophora puteana,Coniophora,Coniophoraceae,Boletales,Agaricomycetes,Basidiomycota,Fungi,722,718,13,23,GCF_preferred_from_2,wood_saprotroph,filamentous_mycelium
GCF_000281105.1,Coniosporium apollinis,Coniosporium,Unknown,Unknown,Dothideomycetes,Ascomycota,Fungi,752,751,5,1,GCF_preferred_from_3,plant_pathogen,filamentous_mycelium
GCA_030247845.1,Coniosporium tulheliwenetii,Coniosporium,Unknown,Unknown,Dothideomycetes,Ascomycota,Fungi,693,692,44,21,unique,plant_pathogen,filamentous_mycelium
GCA_033119265.1,Coniosporium uncinatum,Coniosporium,Unknown,Unknown,Dothideomycetes,Ascomycota,Fungi,273,215,191,294,unique,plant_pathogen,filamentous_mycelium
GCA_032433595.1,Conoideocrella luteorostrata,Conoideocrella,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,748,741,4,6,unique,animal_parasite,filamentous_mycelium
GCA_027627275.1,Coprinellus aureogranulatus,Coprinellus,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,644,570,42,72,unique,soil_saprotroph,filamentous_mycelium
GCA_004369175.1,Coprinellus micaceus,Coprinellus,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,741,480,4,13,unique,soil_saprotroph,filamentous_mycelium
GCF_000182895.1,Coprinopsis cinerea,Coprinopsis,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,703,701,25,30,GCF_preferred_from_3,soil_saprotroph,filamentous_mycelium
GCA_004369085.1,Coprinopsis marcescibilis,Coprinopsis,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,735,730,6,17,unique,soil_saprotroph,filamentous_mycelium
GCA_020736565.1,Coprinopsis sp. MPI-PUGE-AT-0042,Coprinopsis,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,738,114,4,16,unique,soil_saprotroph,filamentous_mycelium
GCA_030685235.1,Copromyces sp. CBS 386.78,Copromyces,Sordariaceae,Sordariales,Sordariomycetes,Ascomycota,Fungi,748,747,2,8,unique,other,filamentous_mycelium
GCF_001636725.1,Cordyceps fumosorosea,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,748,746,2,8,GCF_preferred_from_2,animal_parasite,filamentous_mycelium
GCA_006981975.1,Cordyceps javanica,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,749,746,2,7,GCA_only_from_2,animal_parasite,filamentous_mycelium
GCF_000225605.1,Cordyceps militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,741,737,7,10,GCF_preferred_from_3,animal_parasite,filamentous_mycelium
GCA_002591385.1,Cordyceps sp. RAO-2017,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,665,663,47,46,unique,animal_parasite,filamentous_mycelium
GCA_033296725.1,Corynascus novoguineensis,Corynascus,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota,Fungi,745,743,2,11,unique,soil_saprotroph,filamentous_mycelium
GCA_042370635.1,Corynascus similis,Corynascus,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota,Fungi,747,745,4,7,unique,soil_saprotroph,filamentous_mycelium
GCA_003016335.1,Corynespora cassiicola,Corynespora,Corynesporascaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,755,753,0,3,unique,plant_pathogen,filamentous_mycelium
GCA_014925845.1,Crassisporium funariophilum,Crassisporium,Crassisporiaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,733,721,6,19,unique,soil_saprotroph,filamentous_mycelium
GCA_015657495.1,Crepidotus variabilis,Crepidotus,Crepidotaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,740,737,5,13,unique,wood_saprotroph,filamentous_mycelium
GCA_021029105.1,Cristinia sonorae,Cristinia,Stephanosporaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,734,731,8,16,unique,wood_saprotroph,filamentous_mycelium
GCA_015951145.1,Cronartium quercuum,Cronartium,Coleosporiaceae,Pucciniales,Pucciniomycetes,Basidiomycota,Fungi,671,666,21,66,unique,plant_pathogen,filamentous_mycelium
GCA_004379715.1,Crucibulum laeve,Crucibulum,Nidulariaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,740,729,3,15,unique,litter_saprotroph,filamentous_mycelium
GCA_002077065.1,Cryoendolithus antarcticus,Cryoendolithus,Cladosporiaceae,Cladosporiales,Dothideomycetes,Ascomycota,Fungi,754,24,1,3,unique,,
GCA_043170715.1,Cryomyces antarcticus,Cryomyces,Unknown,Unknown,Dothideomycetes,Ascomycota,Fungi,751,39,4,3,GCA_only_from_4,unspecified_saprotroph,filamentous_mycelium
GCA_005059845.1,Cryomyces minteri,Cryomyces,Unknown,Unknown,Dothideomycetes,Ascomycota,Fungi,740,420,9,9,unique,unspecified_saprotroph,filamentous_mycelium
GCF_011745365.1,Cryphonectria parasitica,Cryphonectria,Cryphonectriaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,746,744,2,10,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCF_001720205.1,Cryptococcus amylolentus,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Fungi,711,709,10,37,GCF_preferred_from_3,unspecified_saprotroph,yeast-like
GCF_000836335.1,Cryptococcus bacillisporus,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Fungi,714,712,9,35,GCF_preferred_from_3,unspecified_saprotroph,yeast-like
GCF_036417295.1,Cryptococcus decagattii,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Fungi,715,714,4,39,GCF_preferred_from_2,unspecified_saprotroph,yeast-like
GCF_000091045.1,Cryptococcus deneoformans,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Fungi,709,706,8,41,GCF_preferred_from_4,unspecified_saprotroph,yeast-like
GCF_001720195.1,Cryptococcus depauperatus,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Fungi,700,699,15,43,GCF_preferred_from_3,unspecified_saprotroph,yeast-like
GCF_002954075.1,Cryptococcus deuterogattii,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Fungi,712,712,9,37,GCF_preferred_from_9,unspecified_saprotroph,yeast-like
GCA_008355005.1,Cryptococcus floricola,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Fungi,699,698,11,48,unique,unspecified_saprotroph,yeast-like
GCF_000185945.1,Cryptococcus gattii,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Fungi,718,717,10,30,GCF_preferred_from_7,unspecified_saprotroph,yeast-like
GCA_009650685.1,Cryptococcus gattii VGV,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Fungi,721,721,7,30,unique,unspecified_saprotroph,yeast-like
GCF_000149245.1,Cryptococcus neoformans,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Fungi,704,702,6,48,GCF_preferred_from_43,unspecified_saprotroph,yeast-like
GCA_036426225.1,Cryptococcus sp. DSM 104548,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Fungi,710,707,7,41,unique,unspecified_saprotroph,yeast-like
GCA_036427605.1,Cryptococcus sp. DSM 104549,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Fungi,710,708,9,39,unique,unspecified_saprotroph,yeast-like
GCF_000835755.1,Cryptococcus tetragattii,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Fungi,716,715,7,35,GCF_preferred_from_2,unspecified_saprotroph,yeast-like
GCF_001720155.1,Cryptococcus wingfieldii,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Fungi,705,704,7,46,GCF_preferred_from_2,unspecified_saprotroph,yeast-like
GCA_022376465.1,Cubamyces lactineus,Cubamyces,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,734,732,6,18,unique,,
GCA_022606275.1,Cubamyces menziesii,Cubamyces,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,719,718,8,31,unique,,
GCA_022385745.1,Cubamyces sp. BRFM 1775,Cubamyces,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,728,725,9,21,unique,,
GCF_010015615.1,Cucurbitaria berberidis,Cucurbitaria,Cucurbitariaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,750,747,3,5,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCA_025201675.1,Cunninghamella echinulata,Cunninghamella,Cunninghamellaceae,Mucorales,Mucoromycetes,Mucoromycota,Fungi,718,675,16,24,unique,soil_saprotroph,filamentous_mycelium
GCA_023920165.1,Curvularia clavata,Curvularia,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,749,746,2,7,unique,plant_pathogen,filamentous_mycelium
GCA_011058905.1,Curvularia kusanoi,Curvularia,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,750,747,5,3,unique,plant_pathogen,filamentous_mycelium
GCF_030864355.1,Cutaneotrichosporon cavernicola,Cutaneotrichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes,Basidiomycota,Fungi,700,697,11,47,GCF_preferred_from_5,animal_parasite,yeast-like
GCF_001027345.1,Cutaneotrichosporon oleaginosum,Cutaneotrichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes,Basidiomycota,Fungi,690,689,21,47,GCF_preferred_from_5,animal_parasite,yeast-like
GCA_030864385.1,Cutaneotrichosporon sp. HIS471,Cutaneotrichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes,Basidiomycota,Fungi,698,695,10,50,unique,animal_parasite,yeast-like
GCA_015501535.1,Cyathus striatus,Cyathus,Nidulariaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,715,618,17,26,unique,litter_saprotroph,filamentous_mycelium
GCA_003205855.1,Cyberlindnera fabianii,Cyberlindnera,Phaffomycetaceae,Phaffomycetales,Saccharomycetes,Ascomycota,Fungi,747,745,3,8,GCA_only_from_2,nectar/tap_saprotroph,yeast-like
GCF_001661405.1,Cyberlindnera jadinii,Cyberlindnera,Phaffomycetaceae,Phaffomycetales,Saccharomycetes,Ascomycota,Fungi,747,738,4,7,GCF_preferred_from_3,nectar/tap_saprotroph,yeast-like
GCA_902728275.1,Cyclocybe aegerita,Cyclocybe,Bolbitiaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,733,723,5,20,unique,wood_saprotroph,filamentous_mycelium
GCA_000934385.1,Cylindrobasidium torrendii,Cylindrobasidium,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,718,712,17,23,unique,wood_saprotroph,filamentous_mycelium
GCA_014621425.1,Cylindrodendrum hubeiense,Cylindrodendrum,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,740,733,10,8,unique,plant_pathogen,filamentous_mycelium
GCF_001299255.1,Cyphellophora attinorum,Cyphellophora,Cyphellophoraceae,Chaetothyriales,Eurotiomycetes,Ascomycota,Fungi,712,711,15,31,GCF_preferred_from_2,litter_saprotroph,yeast-like
GCF_000365145.1,Cyphellophora europaea,Cyphellophora,Cyphellophoraceae,Chaetothyriales,Eurotiomycetes,Ascomycota,Fungi,745,744,4,9,GCF_preferred_from_2,litter_saprotroph,yeast-like
GCA_904855205.1,Cyphobasidiales sp. Tagirdzhanova-0007,Unknown,Unknown,Cyphobasidiales,Cystobasidiomycetes,Basidiomycota,Fungi,658,656,36,64,unique,,
GCF_039999085.1,Cystobasidium minutum,Cystobasidium,Cystobasidiaceae,Cystobasidiales,Cystobasidiomycetes,Basidiomycota,Fungi,682,681,27,49,GCF_preferred_from_2,mycoparasite,yeast-like
GCA_022592445.1,Cytidiella melzeri,Cytidiella,Irpicaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,721,715,7,30,unique,wood_saprotroph,filamentous_mycelium
GCA_003795295.1,Cytospora leucostoma,Cytospora,Cytosporaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,750,747,1,7,unique,plant_pathogen,filamentous_mycelium
GCA_000818155.1,Cytospora mali,Cytospora,Cytosporaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,746,745,2,10,GCA_only_from_2,plant_pathogen,filamentous_mycelium
GCA_021272945.2,Cytospora paraplurivora,Cytospora,Cytosporaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,748,740,2,8,unique,plant_pathogen,filamentous_mycelium
GCA_003795315.1,Cytospora schulzeri,Cytospora,Cytosporaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,746,744,5,7,unique,plant_pathogen,filamentous_mycelium
GCF_000292625.1,Dacryopinax primogenitus,Dacryopinax,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota,Fungi,712,709,15,31,GCF_preferred_from_2,wood_saprotroph,filamentous_mycelium
GCA_012184295.1,Dactylella cylindrospora,Dactylella,Orbiliaceae,Orbiliales,Orbiliomycetes,Ascomycota,Fungi,746,744,2,10,unique,wood_saprotroph,filamentous_mycelium
GCA_012184355.1,Dactylellina cionopaga,Dactylellina,Orbiliaceae,Orbiliales,Orbiliomycetes,Ascomycota,Fungi,735,733,5,18,unique,animal_parasite,filamentous_mycelium
GCF_000441935.1,Dactylellina haptotyla,Dactylellina,Orbiliaceae,Orbiliales,Orbiliomycetes,Ascomycota,Fungi,735,734,7,16,GCF_preferred_from_2,animal_parasite,filamentous_mycelium
GCA_020744375.1,Dactylonectria estremocensis,Dactylonectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,747,744,0,11,unique,plant_pathogen,filamentous_mycelium
GCA_020744425.1,Dactylonectria macrodidyma,Dactylonectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,751,743,0,7,unique,plant_pathogen,filamentous_mycelium
GCA_022606115.1,Daedaleopsis nitida,Daedaleopsis,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,731,727,11,16,unique,wood_saprotroph,filamentous_mycelium
GCA_022478815.1,Daldinia bambusicola,Daldinia,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,751,750,0,7,unique,wood_saprotroph,filamentous_mycelium
GCF_022478825.1,Daldinia caldariorum,Daldinia,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,751,750,0,7,GCF_preferred_from_2,wood_saprotroph,filamentous_mycelium
GCF_008694065.1,Daldinia childiae,Daldinia,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,742,737,4,12,GCF_preferred_from_2,wood_saprotroph,filamentous_mycelium
GCF_022478715.1,Daldinia decipiens,Daldinia,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,754,753,0,4,GCF_preferred_from_2,wood_saprotroph,filamentous_mycelium
GCA_022478725.1,Daldinia eschscholtzii,Daldinia,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,751,750,1,6,GCA_only_from_2,wood_saprotroph,filamentous_mycelium
GCA_022432525.1,Daldinia grandis,Daldinia,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,752,751,0,6,unique,wood_saprotroph,filamentous_mycelium
GCF_022478755.1,Daldinia loculata,Daldinia,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,752,751,0,6,GCF_preferred_from_3,wood_saprotroph,filamentous_mycelium
GCA_002120325.1,Daldinia sp. EC12,Daldinia,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,749,748,1,8,unique,wood_saprotroph,filamentous_mycelium
GCA_025201765.1,Daldinia sp. FL1419,Daldinia,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,752,751,1,5,unique,wood_saprotroph,filamentous_mycelium
GCF_022497035.1,Daldinia vernicosa,Daldinia,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,753,752,1,4,GCF_preferred_from_2,wood_saprotroph,filamentous_mycelium
GCF_001447935.2,Debaryomyces fabryi,Debaryomyces,Debaryomycetaceae,Serinales,Pichiomycetes,Ascomycota,Fungi,741,739,6,11,GCF_preferred_from_3,nectar/tap_saprotroph,yeast-like
GCF_000006445.2,Debaryomyces hansenii,Debaryomyces,Debaryomycetaceae,Serinales,Pichiomycetes,Ascomycota,Fungi,743,741,1,14,GCF_preferred_from_2,nectar/tap_saprotroph,yeast-like
GCA_900006135.1,Debaryomyces tyrocola,Debaryomyces,Debaryomycetaceae,Serinales,Pichiomycetes,Ascomycota,Fungi,745,743,1,12,unique,nectar/tap_saprotroph,yeast-like
GCA_010015605.1,Decorospora gaudefroyi,Decorospora,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,749,743,1,8,unique,wood_saprotroph,filamentous_mycelium
GCA_010093945.1,Delitschia confertaspora,Delitschia,Delitschiaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,752,749,0,6,unique,litter_saprotroph,filamentous_mycelium
GCA_009982845.1,Delphinella strobiligena,Delphinella,Dothioraceae,Dothideales,Dothideomycetes,Ascomycota,Fungi,752,751,2,4,unique,wood_saprotroph,filamentous_mycelium
GCA_004369135.1,Dendrothele bispora,Dendrothele,Unknown,Agaricales,Agaricomycetes,Basidiomycota,Fungi,742,664,4,12,unique,wood_saprotroph,filamentous_mycelium
GCA_020744415.1,Dendryphion nanum,Dendryphion,Torulaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,748,743,3,7,unique,plant_pathogen,filamentous_mycelium
GCA_004679275.1,Dentipellis fragilis,Dentipellis,Hericiaceae,Russulales,Agaricomycetes,Basidiomycota,Fungi,705,702,20,33,unique,wood_saprotroph,filamentous_mycelium
GCA_002286715.1,Dentipellis sp. KUC8613,Dentipellis,Hericiaceae,Russulales,Agaricomycetes,Basidiomycota,Fungi,736,735,6,16,unique,wood_saprotroph,filamentous_mycelium
GCA_030407005.1,Desarmillaria ectypa,Desarmillaria,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,731,723,12,15,unique,plant_pathogen,filamentous_mycelium
GCF_030435595.1,Desarmillaria tabescens,Desarmillaria,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,723,584,12,23,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCA_001006365.1,Diaporthe ampelina,Diaporthe,Diaporthaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,746,744,5,7,unique,plant_pathogen,filamentous_mycelium
GCF_026229845.1,Diaporthe amygdali,Diaporthe,Diaporthaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,748,745,2,8,GCF_preferred_from_3,plant_pathogen,filamentous_mycelium
GCA_042257625.1,Diaporthe australafricana,Diaporthe,Diaporthaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,745,743,3,10,unique,plant_pathogen,filamentous_mycelium
GCF_019321695.1,Diaporthe batatas,Diaporthe,Diaporthaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,748,744,3,7,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCF_014595645.1,Diaporthe citri,Diaporthe,Diaporthaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,731,726,12,15,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCA_024867555.1,Diaporthe eres,Diaporthe,Diaporthaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,748,742,2,8,GCA_only_from_3,plant_pathogen,filamentous_mycelium
GCA_001702395.2,Diaporthe helianthi,Diaporthe,Diaporthaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,744,742,7,7,unique,plant_pathogen,filamentous_mycelium
GCA_023242295.1,Diaporthe ilicicola,Diaporthe,Diaporthaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,751,747,0,7,unique,plant_pathogen,filamentous_mycelium
GCA_021399435.1,Diaporthe sp. PMI_573,Diaporthe,Diaporthaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,747,740,4,7,unique,plant_pathogen,filamentous_mycelium
GCA_042826995.1,Diaporthe vaccinii,Diaporthe,Diaporthaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,746,739,3,9,unique,plant_pathogen,filamentous_mycelium
GCF_000275845.1,Dichomitus squalens,Dichomitus,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,723,721,14,21,GCF_preferred_from_5,wood_saprotroph,filamentous_mycelium
GCA_025716815.1,Dichotomocladium elegans,Dichotomocladium,Lichtheimiaceae,Mucorales,Mucoromycetes,Mucoromycota,Fungi,726,662,6,26,unique,soil_saprotroph,filamentous_mycelium
GCF_033296635.1,Dichotomopilus funicola,Dichotomopilus,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota,Fungi,745,742,2,11,GCF_preferred_from_2,unspecified_saprotroph,filamentous_mycelium
GCF_010094145.1,Didymella exigua,Didymella,Didymellaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,749,747,2,7,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
